,1st fringe,,2nd fringe,,3rd fringe,,,,1/(p?),D/r,?(D/r),,,
Hole,D (m),?D (m),D (m),?D (m),D (m),?D (m),,,1.39E+06,43.38,6.31,,,
1,0.55,0.08,0.28,0.03,0.2,0.03,,,1.39E+06,42.59,6.31,,,
1,0.54,0.08,0.29,0.03,0.22,0.03,,,1.39E+06,44.88,5.28,,,
2,0.85,0.1,0.42,0.03,0.3,0.03,,,1.39E+06,43.82,5.28,,,
2,0.83,0.1,0.4,0.03,0.3,0.03,,,1.39E+06,41.67,4.37,,,
3,1.05,0.11,0.55,0.04,0.39,0.04,,,1.39E+06,42.06,4.37,,,
3,1.06,0.11,0.55,0.04,0.4,0.04,,,7.60E+05,22.08,2.37,,,
,,,,,,,,,7.60E+05,22.87,2.37,,,
r,?r,,,,,,,,7.60E+05,22.18,1.58,,,
0.01268,0.00002,,,,,,,,7.60E+05,21.12,1.58,,,
0.01268,0.00002,,,,,,,,7.60E+05,21.83,1.59,,,
0.01894,0.00002,,,,,,,,7.60E+05,21.83,1.59,,,
0.01894,0.00002,,,,,,,,5.24E+05,15.77,2.37,,,
0.0252,0.00002,,,,,,,,5.24E+05,17.35,2.37,,,
0.0252,0.00002,,,,,,,,5.24E+05,15.84,1.58,,,
,,,,,,,,,5.24E+05,15.84,1.58,,,
,,,,,,,,,5.24E+05,15.48,1.59,,,
,,,,,,,,,5.24E+05,15.87,1.59,,,
